barrio,distrito,precio_2022_euros_m2,precio_2010_euros_m2,max_historico_euros_m2,ano_max_hist,fecha_creacion,requested_at
BENIFERRI,POBLATS LOEST,,,,,2023-03-29,2024-11-30T12:24:42.456308+00:00
CIUTAT FALLERA,BENICALAP,1301,1826,1301,2022,2023-03-29,2024-11-30T12:24:42.456332+00:00
NOU MOLES,L'OLIVERETA,1617,1162,1617,2022,2023-03-29,2024-11-30T12:24:42.456337+00:00
LA FONTSANTA,L'OLIVERETA,1103,1162,1148,2019,2023-03-29,2024-11-30T12:24:42.456346+00:00
LES TENDETES,CAMPANAR,1626,2455,1733,2019,2023-03-29,2024-11-30T12:24:42.456352+00:00
MESTALLA,EL PLA DEL REAL,2907,2098,2907,2022,2023-03-29,2024-11-30T12:24:42.456356+00:00
L'ILLA PERDUDA,ALGIROS,2094,1976,2015,2010,2023-03-29,2024-11-30T12:24:42.456360+00:00
CAMI FONDO,CAMINS AL GRAU,1893,1898,2133,2020,2023-03-29,2024-11-30T12:24:42.456368+00:00
RUSSAFA,L'EIXAMPLE,2738,2106,2738,2022,2023-03-29,2024-11-30T12:24:42.456375+00:00
LA CREU DEL GRAU,CAMINS AL GRAU,1856,1898,2375,2010,2023-03-29,2024-11-30T12:24:42.456380+00:00
LA RAIOSA,JESUS,1796,1472,1867,2012,2023-03-29,2024-11-30T12:24:42.456385+00:00
SAFRANAR,PATRAIX,1791,1408,1791,2022,2023-03-29,2024-11-30T12:24:42.456390+00:00
LES CASES DE BARCENA,POBLATS DEL NORD,,,,,2023-03-29,2024-11-30T12:24:42.456393+00:00
FAVARA,PATRAIX,1550,1408,1586,2021,2023-03-29,2024-11-30T12:24:42.456397+00:00
LA FONTETA S.LLUIS,QUATRE CARRERES,1370,1166,1527,2020,2023-03-29,2024-11-30T12:24:42.456400+00:00
L'AMISTAT,ALGIROS,1946,1976,2240,2021,2023-03-29,2024-11-30T12:24:42.456404+00:00
CIUTAT JARDI,ALGIROS,2118,1976,2118,2022,2023-03-29,2024-11-30T12:24:42.456407+00:00
CARPESA,POBLATS DEL NORD,,,,,2023-03-29,2024-11-30T12:24:42.456410+00:00
EL CALVARI,CAMPANAR,1808,2455,1808,2022,2023-03-29,2024-11-30T12:24:42.456414+00:00
MORVEDRE,LA SAIDIA,1850,1755,1850,2022,2023-03-29,2024-11-30T12:24:42.456418+00:00
LA VEGA BAIXA,ALGIROS,2221,1976,2234,2021,2023-03-29,2024-11-30T12:24:42.456421+00:00
BETERO,POBLATS MARITIMS,2099,1315,2099,2022,2023-03-29,2024-11-30T12:24:42.456425+00:00
LA XEREA,CIUTAT VELLA,3393,2395,3393,2022,2023-03-29,2024-11-30T12:24:42.456434+00:00
SANT PAU,CAMPANAR,3032,2455,3032,2022,2023-03-29,2024-11-30T12:24:42.456437+00:00
LA TORRE,POBLATS DEL SUD,,,,,2023-03-29,2024-11-30T12:24:42.456441+00:00
PINEDO,POBLATS DEL SUD,,,,,2023-03-29,2024-11-30T12:24:42.456444+00:00
LA CREU COBERTA,JESUS,1545,1472,1929,2010,2023-03-29,2024-11-30T12:24:42.456448+00:00
BORBOTO,POBLATS DEL NORD,,,,,2023-03-29,2024-11-30T12:24:42.456451+00:00
TORMOS,LA SAIDIA,1550,1755,1550,2022,2023-03-29,2024-11-30T12:24:42.456454+00:00
TRINITAT,LA SAIDIA,2699,1755,3091,2012,2023-03-29,2024-11-30T12:24:42.456457+00:00
EL FORN D'ALCEDO,POBLATS DEL SUD,,,,,2023-03-29,2024-11-30T12:24:42.456460+00:00
MONTOLIVET,QUATRE CARRERES,1886,1166,1886,2022,2023-03-29,2024-11-30T12:24:42.456464+00:00
LA CARRASCA,ALGIROS,2566,1976,2566,2022,2023-03-29,2024-11-30T12:24:42.456467+00:00
CAMI DE VERA,BENIMACLET,2068,2121,2121,2010,2023-03-29,2024-11-30T12:24:42.456470+00:00
BENIMAMET,POBLATS LOEST,,,,,2023-03-29,2024-11-30T12:24:42.456474+00:00
EL PERELLONET,POBLATS DEL SUD,,,,,2023-03-29,2024-11-30T12:24:42.456477+00:00
CIUTAT UNIVERSITARIA,EL PLA DEL REAL,2395,2098,2778,2020,2023-03-29,2024-11-30T12:24:42.456480+00:00
POBLE NOU,POBLATS DEL NORD,,,,,2023-03-29,2024-11-30T12:24:42.456483+00:00
CAMI REAL,JESUS,1261,1472,1480,2011,2023-03-29,2024-11-30T12:24:42.456486+00:00
EL PALMAR,POBLATS DEL SUD,,,,,2023-03-29,2024-11-30T12:24:42.456490+00:00
EL SALER,POBLATS DEL SUD,,,,,2023-03-29,2024-11-30T12:24:42.456493+00:00
VARA DE QUART,PATRAIX,1616,1408,1616,2022,2023-03-29,2024-11-30T12:24:42.456499+00:00
SOTERNES,L'OLIVERETA,1631,1162,1631,2022,2023-03-29,2024-11-30T12:24:42.456503+00:00
MARXALENES,LA SAIDIA,1877,1755,1877,2022,2023-03-29,2024-11-30T12:24:42.456506+00:00
EXPOSICIO,EL PLA DEL REAL,3342,2098,3342,2022,2023-03-29,2024-11-30T12:24:42.456509+00:00
ARRANCAPINS,EXTRAMURS,2263,1794,2263,2022,2023-03-29,2024-11-30T12:24:42.456512+00:00
PATRAIX,PATRAIX,1918,1408,1918,2022,2023-03-29,2024-11-30T12:24:42.456515+00:00
CIUTAT DE LES ARTS I DE LES CIENCIES,QUATRE CARRERES,2638,1166,2638,2022,2023-03-29,2024-11-30T12:24:42.456518+00:00
EN CORTS,QUATRE CARRERES,1950,1166,1950,2022,2023-03-29,2024-11-30T12:24:42.456522+00:00
BENICALAP,BENICALAP,1602,1826,1926,2010,2023-03-29,2024-11-30T12:24:42.456525+00:00
ELS ORRIOLS,RASCANYA,1170,1771,1771,2010,2023-03-29,2024-11-30T12:24:42.456528+00:00
LA SEU,CIUTAT VELLA,3545,2395,3545,2022,2023-03-29,2024-11-30T12:24:42.456531+00:00
AIORA,CAMINS AL GRAU,1894,1898,1894,2022,2023-03-29,2024-11-30T12:24:42.456534+00:00
LA LLUM,L'OLIVERETA,1322,1162,1408,2018,2023-03-29,2024-11-30T12:24:42.456537+00:00
CABANYAL-CANYAMELAR,POBLATS MARITIMS,2094,1315,2094,2022,2023-03-29,2024-11-30T12:24:42.456541+00:00
EL MERCAT,CIUTAT VELLA,2757,2395,2816,2019,2023-03-29,2024-11-30T12:24:42.456544+00:00
LA ROQUETA,EXTRAMURS,3044,1794,3044,2022,2023-03-29,2024-11-30T12:24:42.456547+00:00
LA GRAN VIA,L'EIXAMPLE,3237,2106,3295,2021,2023-03-29,2024-11-30T12:24:42.456550+00:00
TRES FORQUES,L'OLIVERETA,1332,1162,1379,2012,2023-03-29,2024-11-30T12:24:42.456553+00:00
EL GRAU,POBLATS MARITIMS,1969,1315,2000,2012,2023-03-29,2024-11-30T12:24:42.456556+00:00
TORREFIEL,RASCANYA,1428,1771,1428,2022,2023-03-29,2024-11-30T12:24:42.456560+00:00
SANT ANTONI,LA SAIDIA,1709,1755,2301,2011,2023-03-29,2024-11-30T12:24:42.456563+00:00
EL PLA DEL REMEI,L'EIXAMPLE,4029,2106,4029,2022,2023-03-29,2024-11-30T12:24:42.456566+00:00
ALBORS,CAMINS AL GRAU,1864,1898,2578,2012,2023-03-29,2024-11-30T12:24:42.456569+00:00
MALILLA,QUATRE CARRERES,1999,1166,1999,2022,2023-03-29,2024-11-30T12:24:42.456572+00:00
MAHUELLA-TAULADELLA,POBLATS DEL NORD,,,,,2023-03-29,2024-11-30T12:24:42.456576+00:00
LA PETXINA,EXTRAMURS,2238,1794,2238,2022,2023-03-29,2024-11-30T12:24:42.456579+00:00
NA ROVELLA,QUATRE CARRERES,1501,1166,1501,2022,2023-03-29,2024-11-30T12:24:42.456583+00:00
L'HORT DE SENABRE,JESUS,1474,1472,1474,2022,2023-03-29,2024-11-30T12:24:42.456586+00:00
NATZARET,POBLATS MARITIMS,1161,1315,1387,2014,2023-03-29,2024-11-30T12:24:42.456589+00:00
LA MALVA-ROSA,POBLATS MARITIMS,1820,1315,1900,2013,2023-03-29,2024-11-30T12:24:42.456592+00:00
EL BOTANIC,EXTRAMURS,2410,1794,2611,2020,2023-03-29,2024-11-30T12:24:42.456595+00:00
MASSARROJOS,POBLATS DEL NORD,,,,,2023-03-29,2024-11-30T12:24:42.456598+00:00
JAUME ROIG,EL PLA DEL REAL,2772,2098,2772,2022,2023-03-29,2024-11-30T12:24:42.456602+00:00
SANT FRANCESC,CIUTAT VELLA,3417,2395,3782,2010,2023-03-29,2024-11-30T12:24:42.456605+00:00
CASTELLAR-L'OLIVERAL,POBLATS DEL SUD,,,,,2023-03-29,2024-11-30T12:24:42.456608+00:00
LA PUNTA,QUATRE CARRERES,1967,1166,1967,2022,2023-03-29,2024-11-30T12:24:42.456612+00:00
RAFALELL-VISTABELLA,POBLATS DEL NORD,,,,,2023-03-29,2024-11-30T12:24:42.456615+00:00
SANT LLORENS,RASCANYA,2594,1771,3145,2011,2023-03-29,2024-11-30T12:24:42.456619+00:00
BENIFARAIG,POBLATS DEL NORD,,,,,2023-03-29,2024-11-30T12:24:42.456622+00:00
BENIMACLET,BENIMACLET,2039,2121,2441,2012,2023-03-29,2024-11-30T12:24:42.456625+00:00
CAMPANAR,CAMPANAR,2304,2455,2304,2022,2023-03-29,2024-11-30T12:24:42.456629+00:00
EL CARME,CIUTAT VELLA,2577,2395,2709,2008,2023-03-29,2024-11-30T12:24:42.456633+00:00
EL PILAR,CIUTAT VELLA,2533,2395,3066,2011,2023-03-29,2024-11-30T12:24:42.456637+00:00
SANT ISIDRE,PATRAIX,1655,1408,1655,2022,2023-03-29,2024-11-30T12:24:42.456640+00:00
PENYA-ROJA,CAMINS AL GRAU,3429,1898,3507,2012,2023-03-29,2024-11-30T12:24:42.456644+00:00
SANT MARCEL.LI,JESUS,1441,1472,1662,2009,2023-03-29,2024-11-30T12:24:42.456647+00:00
FAITANAR,POBLATS DEL SUD,,,,,2023-03-29,2024-11-30T12:24:42.456650+00:00
